stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1369,1369,Tres Creus (central) - Pare Esteban Pernet,,4371856.331,723137.814,,,0,
137,137,Amistat,,4372322.134,727970.388,,,0,
1370,1370,Pare Esteban Pernet - Misericòrdia,,4371831.225,722850.377,,,0,
1374,1374,Punta al Mar (parell) - Riu,,4369591.642,728860.67,,,0,
1375,1375,Punta al Mar (parell) - Canal,,4369574.358,729048.437,,,0,
1376,1376,Camí del Canal (imparell) - Guitarrista Tàrrega,,4369800.758,729292.088,,,0,
138,138,Centre de Salut República Argentina,,4372410.868,727710.999,,,0,
1380,1380,Punta al Mar (imparell) - Canal,,4369579.833,729049.343,,,0,
1381,1381,Punta al Mar (imparell) - Riu,,4369597.796,728848.744,,,0,
1382,1382,Hospital Clínic - Facultat Medicina,,4373219.922,726730.476,,,0,
1384,1384,Serradora - Poliesportiu,,4371956.636,729256.292,,,0,
1385,1385,Martí Grajales - Serradora,,4372132.973,729292.568,,,0,
1386,1386,Centre de Salut Serreria,,4372116.937,729246.166,,,0,
1387,1387,Sants Just i Pastor - Fusta,,4371939.956,729099.531,,,0,
139,139,Sants Just i Pastor - Lluís de Milà,,4372379.35,727710.072,,,0,
14,14,Cavite - Riu Tajo,,4373036.433,729958.661,,,0,
140,140,Amistat,,4372266.088,728038.748,,,0,
1409,1409,Blasco Ibáñez - Manuela Estelles,,4372315.935,729195.151,,,0,
141,141,Sants Just i Pastor - Peris Brell,,4372184.146,728269.615,,,0,
1410,1410,Borbotó,,4377094.587,724489.088,,,0,
1411,1411,Borbotó,,4377093.387,724495.963,,,0,
1413,1413,Real de Madrid - Entrada Pinet,,4367775.311,724419.9,,,0,
1416,1416,Inst. Obrer de Val. (imparell) - Autopista Saler,,4370692.718,727329.936,,,0,
1417,1417,Inst. Obrer de Val. (imparell) - Amado Granell Mesado,,4370548.709,727086.348,,,0,
1418,1418,Inst. Obrer de Val. (parell) - Amado Granell Mesado,,4370530.784,727097.277,,,0,
1419,1419,Inst. Obrer de Val. (parell) - Autopista Saler,,4370724.895,727423.917,,,0,
1421,1421,Petxina - Torres,,4372621.939,723702.099,,,0,
1422,1422,Petxina - Pérez Galdos,,4372686.096,723920.759,,,0,
1423,1423,Petxina - Terol,,4372841.137,724188.984,,,0,
1424,1424,Petxina - Ferran el Catòlic,,4372982.748,724434.964,,,0,
1425,1425,Petxina - Túria,,4373267.635,724975.882,,,0,
1427,1427,Jacinto Benavente - Borriana,,4371847.549,726866.034,,,0,
1428,1428,Jacinto Benavente - Peris i Valero,,4371532.112,727009.924,,,0,
1430,1430,Albereda - Illes Canàries,,4372026.33,727066.114,,,0,
1431,1431,Tirso de Molina - Pius XII,,4373114.608,724238.849,,,0,
1432,1432,Tirso de Molina - Mestre Rodrigo,,4372935.196,723942.229,,,0,
1435,1435,Tres Creus - Prínceps de Mònaco,,4371553.6,723133.249,,,0,
1436,1436,Ausiàs March - Dr. Waksman,,4370681.496,725863.774,,,0,
1438,1438,Dr. Tomàs Sala - Gaspar Aguilar,,4369856.363,724199.029,,,0,
144,144,Dr. Manuel Candela (parell) - Rodríguez de Cepeda,,4372078.443,727960.738,,,0,
1440,1440,Sant Marcel·lí,,4369663.982,724487.148,,,0,
